title,lyrics
Morning Mr. Magpie,"You got some nerve coming here. You got some nerve coming here. You stole it off, give it back. You stole it off, give it back. Good morning, Mr. Magpie. How are we today?. Now you've stolen all the magic. And took my memory. You know you should, but you don't. You know you should, but you don't. Good morning, Mr. Magpie. How are we today?. Now you've stolen all my magic. Took my melody"
Feral,"You're not mine. I'm not yours. It's all fine. Please don't judge, judge. (You're not mine). Judge"
Morning Bell / Amnesiac,"The morning bell, the morning bell. Light another candle and. Release me. Release me. You can keep the furniture, a bump on the head. Howling down the chimney. Release me. Release me, yeah. Release me. Release me. Where'd you park the car?. Where'd you park the car?. Your clothes are on the lawn with the furniture. And I might as well, I might as well. Sleepy jack the fire drill. Run around, around, around, around. And round. Cut the kids in half. Cut the kids in half. Cut the kids in half. Release me. Release me. Release me. Release me"
Blow Out,In my mind. And nailed into my heels. All the time. Killing what I feel. And everything I touch. (All wrapped up in cotton wool). (All wrapped up in sugar-coated pills). Turns to stone. And everything I touch. (All wrapped up in cotton wool). (All wrapped up in sugar-coated pills). Turns to stone. I am fused. Just in case I blow out. I am glued. Just in case I crack out. And everything I touch. Turns to stone. Everything I touch. (All wrapped up in cotton wool). (All wrapped up and sugar-coated). Turns to stone. 
Up on the Ladder,"I'm stuck in the TARDIS. Trapped in hyperspace. One minute, snake charming. The next in a motorcade. All the right moves and. In the right places. Watch me dance, I'm a puppet. You can almost see the strings. Give me an answer. Give me a line. I've been climbing up this ladder. I've been wasting my time. Up on the ladder we're all tied to a stake. Up on the ladder we wait for your mistake. Up on the ladder, try to call out your name. Up on the ladder you're all the fucking same"
4 Minute Warning,"This is just a nightmare. Soon I'm going to wake up. Someone's gonna bring me 'round. Running from the bombers. Hiding in the forest. Running through the fields. Laying flat on the ground. Just like everybody. Stepping over heads. Running from the underground. This is your warning, four minute warning. I don't wanna hear it. I don't wanna know. I just wanna run and hide. This is just a nightmare. But soon I'm gonna wake up. Someone's gonna bring me 'round. This is our warning, four minute warning"
Down Is the New Up,"Get yourself together, let the light pour in. Pour yourself a hot bath, pour yourself a drink. Nothing's gonna happen without warning. Down is the new up. What is up, buttercup?. Down is the new up, is the new up. Won't you be my girl? Won't you be my girl?. Your services are not required. Your future's bleak, you're so last week. Ladies and gentlemen, without a safety net. I shall now perform a 180 flip-flop. I shall now amputate, I shall now contort. Because down is the new up. What if I just flip-flop?. Down is the new up, down is the new up. Down is the new up, is the new up. You crawled off and left us, you crawled off and left us. You crawled off and left us. You bastard. You bastard. You're on candid camera. The chink in your armour. Topsy turvy town. Topsy turvy town. Shake your pockets out. Pass it on, pass it down. Topsy turvy town. Topsy turvy town"
Stop Whispering,"And the wise man said I don't want to hear your voice. And the thin man said I don't want to hear your voice. And they're cursing me, and they won't let me be. And there's nothing to say, and there's nothing to do. Stop whispering, start shouting. Stop whispering, start shouting. And the mother say we spit on your son some more. And the buildings say we spit on your face some more. And the feeling is that there's something wrong. 'Cause I can't find the words and I can't find the songs. Stop whispering, start shouting. Stop whispering, start shouting. Dear Sir, I have a complaint. Dear Sir, I have a complaint. Can't remember what it is. It doesn't matter anyway. It doesn't matter anyway. Stop whispering, stop whispering. Stop whispering, stop whispering. Stop, stop"
Follow Me Around,"I see you in the dark. Corner of the street. Comin' after me, yeah. Headlights on full-beam. Comin' down the fast lane. Comin' after me. You follow me around. You follow me around. You follow me around. You follow me around. *. Blowin' holes in everythin'. Thatcher's children. See you on the way back down. Drooling looney tunes. Movin' in a swarm. Movin' in a swarm. You follow me around. You follow me around. You follow me around. You follow me around. Na-da-da-da-da-da. Na-da-da-da-da-da, yeah. Na-da-da-da-da-da. Na-da-da-da-da-da, yeah. Nowadays I get panicked. I cease to exist. I have ceased to exist. I feel absolutely nothin'. The words are out of ink. The words you know are out of ink. You follow me around. You follow me around. You follow me around. You follow me around. Na-da-da-da-da-da. Na-da-da-da-da-da, yeah. Na-da-da-da-da-da. Na-da-da-da-da-da, yeah"
Bangers + Mash,"You bit me, bit me. Bit me, oh. You bit me, bit me. And now I want more. I'm standing in the hall, I'm puking on the wall. It's all heading south to the Conger Hill. The bangers and the mash, the negatives for cash. You're either in the club, baby, or you're not. Whatever turns you on, whatever gets you up. Chief of police or vice chancellor. Lord and Lady blah-blah, the vicar and the judge. You're all dancing to my little red book. Because you bit me, bit me. Bit me, oh. I got the poison, poison. And now I want more. If you are on the top, then it is a long drop. The pyramid is power, we're changing by the hour. If you are on the top, then it is a long drop. If you stare into the dark, the dark will stare back. Back into your soul. I'm taking you down, I'm taking you down. I'm taking you down, when I go down. I'm taking you down, I'm taking you down. I'm standing in the hall, I'm puking on the wall. Yeah, because you bit me, bit me. Bit me, oh. The poison, I got the poison. I got the poison now. Yeah, I got the poison"
Harry Patch (In Memory Of),I am the only one that got through. The others died wherever they fell. It was an ambush. They came up from all sides. Give your leaders each a gun and then let them. Fight it out themselves. I've seen devils coming up from the ground. I've seen hell upon this earth. The next will be chemical. But they will never learn
How Do You?,He's bitter and twisted. He knows what he wants. He wants to be loved and. He wants to belong. He wants us to listen. He wants us to weep. And he was a stupid baby who turned into a powerful freak. But how do you?. How do you?. How do you?. He lives with his mother. But we show him respect. He's a dangerous bigot. But we always forget. And he's just like his daddy. 'Cause he cheats on his friends. And he steals and he bullies anyway that he can. But how do you?. How do you?. How do you?
Prove Yourself,"I can't afford to breathe in this time. Nowhere to sit without a gun in my hand. Hooked back up to the cathode ray. I'm better off dead, I'm better off dead. I'm better off.... Prove yourself. Prove yourself. Prove yourself. I wanna breathe, I wanna grow. I'd say I want it but I don't know how. I work, I bleed, I beg and pray. But I'm better off dead, I'm better off dead. I'm better off.... Prove yourself. Prove yourself. Prove yourself. I'm better off dead, I'm better off dead. I'm better off.... Prove yourself. Prove yourself. Prove yourself. Prove yourself. Why?. Prove yourself. Prove yourself. Prove yourself"
Pearly*,"How'd you get your. Teeth so pearly?. Dew-drop dentures. White-washed fences. She runs from the third world, pearly. Vanilla (Feel it crawl to me) milkshakes (Crawl back again). From Hard Rock (Whatever you say) Cafés (Make it go away). That's where (I feel it crawl to me) she got her (Crawls back again). Sweet tooth (Make it go away) for white boys (Whatever you say). She runs from the third world, pearly. Use me, darling use me. Darling use me, darling use me"
A Reminder,"Ukončete výstup a nástup, dveře se zavírají. Příští stanice, Jiřího z Poděbrad. If I get old, I will not give in. But if I do, remind me of this. Remind me that once I was free. Once I was cool, once I was me. And if I sit down and cross my arms. Hold me up to this song. Knock me out, smash out my brains. If I take a chair, and start to talk shit. If I get old, remind me of this. The way that we kissed, and I really meant it. Whatever happens, if we're still speaking. Pick up the phone, play me this song"
Fog,"There’s a little child running around this house. And he never leaves, he will never leave. And the fog comes up from the sewers. And glows, in the dark. Baby alligators in the sewers. Grow up fast, grow up fast. Anything you want, it can be done. How, did you go bad?. Did you go bad? Did you go bad?. Some things will never wash away. Did you go bad? Did you go bad?"
I Can’t,"Please forget the words that I just blurted out. It wasn't me, it was my strange and creeping doubt. It keeps rattling my cage. And there's nothing in this world will keep it down. Even though I might, even though I try, I can't. Even though I might, even though I try, I can't. So many things that keep, that keep me underground. So many words that I, that I can never find. If you give up on me now. I'll be gutted like I've never been before. Even though I might, even though I try, I can't. Even though I might, even though I try, I can't. If you give up on me now. I'll be gutted like I've never been before. Even though I might, even though I try, I can't. Even though I might, even though I try, I can't. Even though I might, even though I try, I can't. Even though I might, even though I try, I can't"
Palo Alto,"In a city of the future. It is difficult to concentrate. Meet the boss, meet the wife. Everybody's happy, everyone is made for life. In a city of the future. It is difficult to find a space. I'm too busy to see you. You're too busy to wait. But I'm okay, how are you?. Thanks for asking, thanks for asking. But I'm okay, how are you?. I hope you're okay, too. Every one of those days. When the sky's California blue. With a beautiful bombshell. I throw myself into my work. I'm too lazy. I've been kidding myself for so long. I'm okay, how are you?. Thanks for asking, thanks for asking. I'm okay, how are you?. I hope you're okay, too"
Gagging Order,"I know what you're thinking. But I'm not your property. No matter what you say. No matter what you say. Move along, there's nothing left to see. Just a body, nothing left to see. A couple more for breakfast. A little more for tea. Just to take the edge off. Just to take the edge off. Move along, there's nothing left to see. Just a body, blood pouring down the street. Move along, there's nothing left to see. Just a body, nothing left to see. Move along"
Lull,"You stop the crowd. I cried out to break the spell. You wake and smile. I just snapped and lost control. Distracted by irrelevance. The stress and the tension. The stress and the tension. I'm in a lull. There's nothing more dull. Than talking, talking about yourself. But what I meant to say. I'm sorry that I lost control. Distracted by irrelevance. The stress and the tension. Crawling through the keyhole. I'm in a lull"
Ripcord,"Soul destroyed with clever toys for little boys. It's inevitable, inevitable, it's a soul destroyed. You're free until you drop. You're free until you've had enough. But you don't understand. You've no ripcord, no ripcord. No ripcord, no ripcord. Aeroplane, do I mean what I mean?. It's inevitable, inevitable, oh aeroplane. A thousand miles an hour. And politics in power. That you don't understand. You've no ripcord, no ripcord. No ripcord, no ripcord. The answer to your prayers. We'll drop you anywhere. With no ripcord, no ripcord. No ripcord, no ripcord"
Lurgee,"I feel better. I feel better now you've gone. I got better. I got better, I got strong. I feel better. I feel better now there's nothing wrong. I got better. I got better, I got strong. Tell me something. Tell me something I don't know. Tell me one thing. Tell me one thing and let it go. I got something. I got something, heaven knows. I got something. I got something I don't know"
Vegetable,"I never wanted anything but this. I worked hard, tried hard. I ran around in domestic bliss. I fought hard, died long. Every time you're running out of here. Every time you're running I get the fear. I never wanted any broken bones. Scarred face, no home. Your words surround me and asphyxiate. And I burn all hate. Every time you're running out on me. Every time you're running I can see. I'm not a vegetable. I will not control myself. I spit on the hand that feeds me. I will not control myself. The waters spray, the waters run all over me. The waters spray, the waters run. And this time you're gonna pay. I'm not a vegetable. I will not control myself. I spit on the hand that feeds me. I will not control myself"
Melatonin,"Don't forget that you are our son. Now go back to bed. We just know that you'll do well. You won't come to harm. Death to all who stand in your way. Wake, my dear"
Supercollider,Supercollider. Dust in a moment. Particles scatter. Coming up from the soup. Swimming upstream. Before the heavens crack open. Thin pixelations. Coming up from the dust. In a blue light. In a green light. In a half-life. In an arc light. I'm a B-spin. Flip-flopping. I'm a pulse wave. Outstepping. I put the shadows back into their boxes. I am open. I am welcome. For a fraction. Of a second. I have jettisoned (Supercollider). My illusions (Dust in a moment). I have dislodged (Particles scatter). My depressions (Parting out from the soup). I put the shadows back into their boxes. I put the shadows back into their boxes. I see angels hanging over the balcony. I see angels hanging over the balcony. I see angels hanging over the balcony
The Amazing Sounds of Orgy,"I want to see you smile again. Like diamonds in the dust. The amazing sound of the killing hordes. The day the banks collapsed on us. Cease this endless chattering. Like everything is fine. When sorry is not good enough. Sit in the back while no one drives. So glad, so glad you're mine. So glad, so glad you're mine. So glad, so glad you're mine. So glad, so glad you're mine"
(ocean) bloom,Open your mouth wide. The universal sigh. And while the ocean blooms. It's what keeps me alive. Open your mouth wide. The universal sigh. And while the ocean blooms. It's what keeps me alive. Ocean blooms
The Butcher,"Beauty will destroy your mind, spare the gory details. Give them gift-wrapped for the man with everything. Though I lived a lonely life, I was confused. A butcher, I feel nothing. As it courses up my arms in a position of the worms. Up, up, through my heart into my brain. Arm a bit slack,  a basic combination. Cut out of chopped liver on the block. My heart's still pumping. My heart's still pumping. He's a warrior, a warrior. Here's a little bitch coming out of him. He's a warrior, a warrior. Here's a little bitch coming out of him. Coming out of him"
I Want None of This,"You can keep what you want. I want none of this. They're just bad memories. I don't want. In my sunshine (shine, shine). You can pack it all up. And be gone. And be gone. If it matters to you. You can sell it all up. If the price feels right. I won't judge. If you get off your knees. You'll be out on the breeze. Take a lesson from me. Don't get stuck on a dream"
Staircase,"I walk down the staircase. Magnetic pull. Back to the other place. That I cannot go. I'm sending a chopper. To steal you away. The pot is full, let me take control. Let me take control. The pot is full of secrets to be told. Secrets to be told. Out of orbit. And I always will. The pot is full, let me take control. Let me take control. The pot is full of secrets to be told. Secrets to be told"
These Are My Twisted Words,These are my twisted words. Went off the roof still walking. I know I should not look down. But I'm so sick of just talking. When are you coming back?. I just can't handle it. When are you coming back?. I just can't handle it. When are you coming back?. I just can't stand it. I just can't handle it
Banana Co,"Oh, Banana Co. We really love you, and we need you. And oh, Banana Co. We'd really love to believe you. But everything's underground. We gotta dig it up somehow. Yeah, yeah. Oh, she said ""No go"". She said she'd like to, she's seen you. And oh, Banana Co. She knows if you die then we all do. And everything's underground. We've gotta dig it up somehow. Yeah, yeah. Everything's burning down. We gotta put it out somehow. Yeah, yeah"
The Trickster,"Rust in the mountains, rust in the brain. The air is sacred here in spite of your claim. Up on the the rooftops, out of reach. Trickster is meaningless, trickster is weak. He's talking out the world, talking out the world. Hey, hey, hey, this is only halfway. Hey, hey, hey, this is only halfway. I wanted you so bad, that I couldn't say. All things fall apart. We wanted out so bad, that we couldn't say. These things fall apart. We're talking out the world, talking out the world. Hey, hey, hey, this is only halfway. Hey, hey, hey, this is only halfway. Truant kids, a can of brick dust worms. Who do not want to climb down from their chestnut tree. Long white gloves, police check carefully. Escaped from the zoo, the perfect child facsimile is. Talking out the world, talking out the world. Hey, hey, hey. Hey, hey, hey"
Cuttooth,I will leave a wallpaper life. And run away to the foreign legion. I would leave a wallpaper life. And run away to the foreign legion. As the tanks roll into town. As the tanks roll into town. A little bit of knowledge will destroy you. A little bit of knowledge will destroy you. As the tanks roll into town. As the tanks roll into town. A little bit of knowledge will destroy you. A little bit of knowledge will destroy you. I don't know why I feel so tongue tied. I don't know why I feel so skinned alive. Run until your lungs are sore. Until you cannot feel it anymore. Run until your lungs are sore. Until you find an open door. I build you up to pull you down. Tie you to your feet and watch you drown. A little bit of knowledge will destroy you. A little bit of knowledge will destroy you. I build you up to pull you down. Tie you to the stake and watch you burn in hell. In hell. I don't know why I feel so tongue tied. I don't know why I feel so skinned alive. I'll find another skin to wear. I'll find another skin to wear
Pop Is Dead,"Oh no, Pop is dead, long live Pop. It died an ugly death by back-catalogue. And now you know it gets you nowhere. And now you know, you realize. Oh no, Pop is dead, it just gave up. We raised the dead but they won't stand up. And radio has salmonella. And now you know you're gonna die. He left this message for us. So what? Pop is dead, it's no great loss. So many facelifts, his face flew off. The emperor really has no clothes on. And his skin is peeling off. Oh no, Pop is dead, long live Pop. One final line of coke to jack him off. Jack him off. He left this message for us. He left this message for us. He left this message for us"
Worrywort,"You don't want to talk to me. You don't want to say the words. Trying to get off the hook. Trying to get off the hook. Sprawling on a pin. Hanging off a hook. Trying to get yourself away. Trying to get yourself away. There's no use dwelling on. On what might have been. Just think of all the fun. You could be having. We know the way you talk. We know what you want. We know what you want. What you really want. Take a look around. The candles on the cake. On what might have been. The road you should have took. Mistakes, mistaken. There's no use dwelling on. No use dwelling on. It's such a beautiful day. It's such a beautiful day. Find yourself a moment. And go and get some wings. It's such a beautiful day. It's such a beautiful day. Go up to the mic, go up to the mic. Go and get some wings"
Punchdrunk Lovesick Singalong,"I wrapped you inside of my coat. When they came to firebomb the house. I didn't feel pain, 'cause no one can touch me. Now that I'm held in your spell. Beautiful girl. Beautiful girl. Can turn your world into dust. Sell me a car that goes. Sell me a house that stands. I never cared before. I never cared before. I never cared before. Before, before, before. Beautiful girl. Beautiful girl. Can turn your world into dust. Beautiful girl. Beautiful girl. Can turn your world into dust. I stood in front of her face. When the first bullet was shot"
Like Spinning Plates (‘Why Us?’ Version),Why us?. Why not someone else?. Why us?. The cameras are turnin' off our lights. So run away. And this just feels like. Spinning plates. Our bodies floating down a muddy river. While you make pretty speeches. I'm being cut to shreds. You feed me to the lions. A delicate balance. When this just feels like. Spinning plates. I'm living in Cloud Cuckoo Land. When this just feels like. Spinning plates. Our bodies floating down a. Muddy river. (Why us?)
India Rubber,Did it all for you to say. You never wanted me that way. Now the dogs have had their meat. I think I'll go plug in the mains. I tumble like a clown. Before your baying hounds. I supplicate myself into your hands. When you spare a make up smile. I'm instantly your biggest fan. How was I to know. That you practiced it beforehand?. I tumble like a clown. Before your baying hounds. I supplicate myself into your hands
Skirting on the Surface,When we realise we are only to die then we're out of here. We're just skirting on the surface. We have only to click our fingers and we disappear. We're just skirting on the surface. Dull eyes trying to pull you through the ice. Being drawn to the ledge. When we realise that once we're broke then nothing mends. We're just skirting on the surface. When we realise we're only held in suspension. Till someone comes along and shakes us. And as the pattern lines cross their fingers like a web. Will we die upon the surface. Dull eyes trying to pull you through the ice. Being drawn to the ledge. When we realise that once we're broke then nothing mends. We're just skirting on the surface
Killer Cars,"Killer cars, cars. Killer cars. Too hard on the brakes again. What if these brakes just give in?. What if they don't get out of the way?. What if there's someone overtaking?. I'm going out for a little drive. And it could be the last time you see me alive. There could be an idiot on the road. The only kick in life is pumping his steel. Wrap me up in the back of the trunk. Packed with foam and blind and drunk. They won't ever take me alive. 'Cause they all drive. Don't die on the motorway. The moon would freeze, the plants would die. I couldn't cope if you crashed today. All the things I forgot to say. I'm going out for a little drive. And it could be the last time you see me alive. What if the car loses control?. What if there's someone overtaking?. Wrap me up in the back of the trunk. Packed with foam and blind and drunk. They won't ever take me alive. 'Cause they all drive killer cars. Killer cars. Killer cars. Killer cars. Killer cars. Wrap me up in the back of the trunk. Packed with foam and blind and drunk. No they won't ever take me alive. 'Cause they all drive killer cars. They all drive killer cars. They all drive killer cars. Killer cars. Killer cars. Killer cars. Killer cars. Killer cars. Killer cars. Killer cars. Killer cars"
Are You Someone?,"Are you lonely?. Are you living on the seat of your pants?. Are you happy?. Wipe that smile off your face. Are you someone?. Lose my pinball eyes. Are you lonely?. Are you broken all in a vice?. Try what you shouldn't say. And I'll help you. Here's the detective. He's in charge of your case. Here's the detective. And he's hoping to waste my name. And he's trying what is in his arm, but I don't mind. He's trying what is in his arm, but I don't mind. The strength for living, losing. No one inside of my head. Are you crazy?. Are you blessed in bed in his arm?. Is there mumbling?. Will you cry us a play in it?. Are you happy?. Your crossed legs. Try what you want from me, I'll spit it back. Soft as a denim hand, spit it back. Then this world.  and it hurts. Leaving it on a nose"
How Can You Be Sure?,"Seen all the good things and bad. Running down the hill. All so battered and brought to the ground. I am hungry again. I am drunk again. With all the money I owe to my friends. When I'm like this. How can you be smiling, singing?. How can you be sure?. How can you be sure?. If you walk out the door. Will I see you again?. If so much of me lies in your eyes. I am hungry again. I am drunk again. With all the money I owe to my friends. When I'm like this. How can you be smiling, singing?. How can you be sure?. (I don't want you, I don't want you). How can you be sure?. (I don't want you, I don't want you). How can you be sure?. (I don't want you, I don't want you). How can you be sure?. (I don't want you, I don't want you). I don't want you. I don't want you anymore. I don't want you. I don't want you anymore"
Permanent Daylight,"The easiest way to sleep at night. Is to carry on believing that I don't exist. The easiest way to sell your soul. Is to carry on believing that we don't exist. It must be hard, hard. With your head on backwards"
Cut A Hole,Wish that I could come out of your phone. Superhero powers. Burst out of the sand. With a bunch of flowers. And you just say the word. Apparition comes. With a long and winning. Handsome smile. Wish we could connect. Step into the void. Off the diving board. Blend into the light. Down the cable lines. Roll under the earth. Reforming on the wind. Two places at once. Taste the air with you. Undo all the ties. Wish that I could flip. One of those lies. Lift this all away. See that stretchy smile go. Right across your face. Cut a hole. Cut a hole. A hole. A hole
Where Bluebirds Fly,"Somewhere over the rainbow. Way up high. And the dreams that you dreamed of. Once in a lullaby. Somewhere over the rainbow. Blue birds fly. And the dreams that you dreamed of. Dreams really do come true. Someday I'll wish upon a star. Wake up where the clouds are far behind me. Where trouble melts like lemon drops. High above the chimney tops that's where you'll find me. Oh somewhere over the rainbow, bluebirds fly. And the dream that you dare to, oh why, oh why can't I?"
Fast-Track,Little birds on a tree in a line. Little birds on a tree in a line. Little birds on a tree in a line. Little birds on a tree in a line. Little birds on a tree in a line. Little birds on a tree in a line. Little butterflies . Falling on my own thoughts
You Never Wash Up After Yourself (Live),"I must get out once in a while. Everything is starting to die. The dust settles, the worms dig. And spiders crawl over the bed. I must get out once in a while. I eat all day and now I'm fat. Yesterday's meal is hugging the plates. You never wash up after yourself"
Paperbag Writer,"Blow into this paper bag. Go home and stop grinning at everyone. Blow into this paper bag. Go home and stop grinning at everyone. It was nice when it lasted but now it’s gone. It was nice when it lasted but now it’s gone. Blow into this paper bag. Take your armour off, you’re not under attack. Take your armour off, you’re not under attack. Come on, come on. Blow into this paper bag. Go home and stop grinning at everyone. Blow into this paper bag. Go home and stop grinning at everyone. Like they were honeybees or a plague of rats. Take your armour off, you’re not under attack. Blow into this paper bag. Blow into this paper bag"
Nude Early Band Version,"Don't get any big ideas. They're not gonna happen. That thin stewardess. Her skirt in a mess. You don't stand a chance. What do you look like when you're nude. What do you look like when you're nude. What do you look like nude. Soulless reflection. In the other person's eyes. Death bed, first home. Damaged good, subject. Object none. So don't get any big ideas. They're not gonna happen. You'll go to hell. For what your dirty mind. Is thinking. What do you look like when you're nude. What do you look like when you're nude. It's weirding me out"
Lozenge of Love,"I am gone, everybody's raging. And these fruits, they still taste of poison. I won't be around. When you really need me. I can't sleep, why can't someone hold me?. I need warmth, our restless body cracks and moans. I won't have the strength. When you really need me"
Inside My Head,"What do you want from me, now you got me?. Now my fingers bleed, now they stare at me. I'm a coward now. I hold my peace. Now you tie me up to your feather bed. And I twist and turn in a Chinese burn. You won't let go. You won't let go. You're inside of my head. Inside of my head. What do you want from me, now you got me?. Now my energy, you suck from me. And I'm holding on. For dear life. Quit smothering me, quit laughing at me. I've got a disease, an English disease. It will not go. It will not go. You're inside of my head. Inside of my head. Whatever you put in that syringe. Whatever you really said to him. He's sitting there inside of me. And you bother me, you possess me. You're there again, ahead of me. And I won't let go, I won't let go. You're inside of my head. Inside of my head. Inside of my head, la-la-la-la-la-la-la-la-la-la. Inside of my head"
Maquiladora,"Here it comes, here it comes. I can feel the hills exploding. Exploding gracefully, burning up the freeway. Here it comes. Grass is green at the edge of the bubble. Beautiful kids into beautiful trouble. Well, it seems to fall out of the sky and come down on you. Oh baby, burn. Fast Toyota, burns rubber. Useless rockers from England. Good times had by all. Just swallow your guilt and your conscience. Blue and white birds stepping hard on the pedal. Interstate Five runs straight down the middle. And it seems to fall out of the sky and come down on you. Oh baby, burn"
Bishop’s Robes,Dressed in bishop's robes. Terrifies me still in bishop's robes. Bastard headmaster. I am not going back. I am not going back. I am not going back. Children taught to kill. To tear themselves to bits on playing fields. Dressed in bishop's robes. I am not going back. I am not going back. I am not going back
Kinetic,"You're being took for a ride. Pulling all the lazies. Please keep moving. Better keep moving. Don't fall asleep at the wheel. I waited for you but you never came. (Can't you stop the children screaming). Please keep moving. Better keep moving. Kinetic, kinetic, kinetic, kinetic. Kinetic, kinetic, kinetic, kinetic. Kinetic, kinetic, kinetic, kinetic. Kinetic, kinetic, kinetic, kinetic. Please keep moving. Better keep moving. Kinetic, kinetic, kinetic, kinetic. Kinetic, kinetic, kinetic, kinetic. Kinetic, kinetic, kinetic, kinetic. Kinetic, kinetic, kinetic, kinetic. Kinetic, kinetic, kinetic, kinetic. Kinetic, kinetic, kinetic, kinetic. Kinetic, kinetic, kinetic, kinetic. Kinetic, kinetic, kinetic, kinetic"
Lewis (Mistreated),"Bummed out again by your only business friend. The smell of fear is thicker than you think. Don't do it, don't jump. Changed shape to fit, in the end, you just feel sick. A million love songs under anaesthetic. Hey, don’t do it, don't jump. Lewis, save yourself the pain. You'll never get there. Lewis, save yourself the pain. It never really mattered. We never noticed, we never understood. He just get crushed to fit, he never even smiled at the best. It's the best, it’s the best day of your life. Lewis, save yourself the pain. You'll never get there. Lewis, save yourself the pain. It never really matters. No, I swear, I swear, I swear. Oh, mistreated, a low corporate. Mistreated, a low corporate. I don't want to talk about it. I don't want to talk about it. I don't want to talk about Lewis, Lewis, Lewis. I don't want to talk about Lewis, Lewis, Lewis"
Trans-Atlantic Drawl,"I was born. For your magazine, for your magazine. I am trapped in the society page. Of your magazines, of your magazine. I don’t know what it means. Do you see light. At the end of the tunnel? At the end of the tunnel?. Do you see light. (These are things that get on my nerves). At the end of the tunnel? At the end of the tunnel?. (You better start naming names). (You better start naming names). At the end of the tunnel?. (You better start naming names). (You better start naming names). Tunnel. (You better start naming names). (You better start naming names). Tunnel. (You better start naming names). (You better start naming names). Tunnel. (You better start naming names). (You better start naming names)"
I Am a Wicked Child,"One, two, three, four. Mother Mary come to me. For I am a wicked child. I've sinned and I am so confused. And I am a wicked child. I am a wicked child. I am the devil's son. And I wish I could be good. I walk a crooked mile. Yet I wish I could be good. I wish I could be good. If I could've kept. On the straight and narrow. If I could've kept. On the straight and narrow, and not have broke your heart. Not have broke your heart. Now I wake up in the night. It's tugging at my arms and legs like I was a marionette. Send baby Jesus to radiate his light. To radiate his light"
Poison MD111,"I'm no good, I am poison. Leave, leave me be, leave me be. There'll come a time. You'll appreciate my rhyme. There's no tomorrow, no tomorrow. All around, and I see into you. All around. Living in a glass house. My Disease. I know everything about you, dear. Living in a glass house. There'll..."
Molasses,"Shake hands, genocide, molasses. Jet powered caravans, molasses. I'm too good, you're stuck on. Rent free earthquake zone, molasses. I need someone else's glasses. Starving waitresses in plasters. Fat houseflies, genocide. We've been stitched up, molasses"
Faithless the Wonderboy,"I've had these jeans since I was born. And now they're ripped and now they're torn. And all my friends have skateboards. I want the toys of other boys. I want a knife and a gun and things. But mum and dad will not give in. And I can't put the needle in. Can't put the needle in. I can't put the needle in. No, I can't put the needle in. Can't put the needle in. Can't put the needle in. And now I know just what it is. It's called disease and it's got my head. It always runs where I hide. Too scared to talk, too scared to try. Too scared to know the reasons why. And all my friends say bye-bye. And I can't put the needle in. Can't put the needle in. Can't put the needle in. No, I can't put the needle in. Can't put the needle in. Can't put the needle in. And I can't put the needle in. Can't put the needle in. Can't put the needle in. No, I can't put the needle in. Can't put the needle in. Can't put the needle in"
Stupid Car,"I find it hard. To drive your stupid car. I find it hard. 'Cause I never get that far. And you put my brain in overload. I can't change gear. I cannot see the road. You got concrete eyes. But I cannot see your face. And I failed in life. 'Cause you crushed me with your hands. And you put my brain in overload. I can't change gear. I cannot see the road, road"
Pulk/Pull (True Love Waits Version),I'll drown my beliefs. To have your babies. I'll dress like your niece. And wash your swollen feet. Don't leave. Don't leave. I'm not living. I'm just killing time. Your tiny hands. Your crazy kitten smile. Don't leave. Don't leave.
Yes I Am,"I resent you calling. I resent your voice. I resent that I don't have a choice. Anywhere I go. You are always there. Outside the car or in my hair. I think I've been here before. Yes, I've been here before. The last time you locked all the doors. And I resent you calling. I resent your voice. I resent that I don't have a choice. And yes, I am wary. Yes, I am. I am. Think I've told you once. Think I needed advice. You were such a help, that's very nice. Think I've been here before. Yes, I've been here before. But this time I kick down your door. Yes, I am wary. Yes, I am wary. "
Fog (Again),"There’s a little child running around this house. And he never leaves, he will never leave. And the fog comes up from the sewers. And glows, in the dark. Baby alligators in the sewers. Grow up fast, grow up fast. Anything you want, it can be done, how?. How did you go bad?. Did you go bad? Did you go bad?. Some things will never wash away. Did you go bad? Did you go bad?"
Fog (Again Again Version),"There’s a little child running around this house. And he never leaves, he will never leave. And the fog comes up from the sewers. And glows in the dark. Baby alligators in the sewers. Grow up fast, grow up fast. Anything you want, it can be done, how?. How did you go bad?. Did you go bad? Did you go bad?. Some things will never wash away. Did you go bad? Did you go bad?"
Motion Picture Soundtrack (Solo Piano),"Red wine and sleeping pills. Help me get back to your arms. Cheap sex and sad films. Help me get where I belong. I think you're crazy, maybe. I think you're crazy, maybe. Stop sending letters. Letters always get burned. It's not like the movies. They fed us on little white lies. I think you're crazy, maybe. I think you're crazy, maybe. I will see you in the next life. Beautiful angel. Pulled apart at birth. Limbless and helpless. I can't even recognise you. I think you're crazy, maybe. I think you're crazy, maybe. I think you're crazy, maybe. I think you're crazy, maybe. I will see you in the next life"
